test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant
FBgn0033246	FBgn0033246	ACC	2R:7974114-7991862	C1	C2	OK	97.5563	217.164	1.15448	7.76617	5e-05	0.00167794	yes
FBgn0011604	FBgn0011604	Iswi	2R:12636670-12640628	C1	C2	OK	69.1249	153.865	1.15438	7.50849	5e-05	0.00167794	yes
FBgn0036058	FBgn0036058	CG6707	3L:9894806-9898575	C1	C2	OK	54.2874	120.699	1.15273	6.82296	5e-05	0.00167794	yes
FBgn0038256	FBgn0038256	CG7530	3R:14724759-14731509	C1	C2	OK	67.273	149.08	1.14798	6.76284	5e-05	0.00167794	yes
FBgn0022987	FBgn0022987	qkr54B	2R:17469623-17475129	C1	C2	OK	23.9855	53.1326	1.14743	6.20378	5e-05	0.00167794	yes
FBgn0039902	FBgn0039902	Zip102B	4:310929-314087	C1	C2	OK	28.3937	62.6099	1.14082	6.7196	5e-05	0.00167794	yes
FBgn0033244	FBgn0033244	CG8726	2R:7962462-7972003	C1	C2	OK	24.7787	54.5181	1.13763	4.84583	5e-05	0.00167794	yes
FBgn0033716	FBgn0033716	Den1	2R:12337796-12339544	C1	C2	OK	33.1275	72.7197	1.13432	5.74134	5e-05	0.00167794	yes
FBgn0010611	FBgn0010611	Hmgs	2R:16324812-16341242	C1	C2	OK	145.616	318.997	1.13137	6.24173	5e-05	0.00167794	yes
FBgn0032821	FBgn0032821	CdGAPr	2L:19774873-19791882	C1	C2	OK	29.8522	65.3855	1.13113	7.19148	5e-05	0.00167794	yes
FBgn0024238	FBgn0024238	Fim	X:17232941-17305475	C1	C2	OK	92.2801	201.893	1.1295	6.65706	5e-05	0.00167794	yes
FBgn0033906	FBgn0033906	CG8331	2R:14168785-14173596	C1	C2	OK	200.646	437.92	1.12601	6.17378	5e-05	0.00167794	yes
FBgn0052675	FBgn0052675	Tango5	X:10760047-10764413	C1	C2	OK	96.1582	207.629	1.11053	7.04992	5e-05	0.00167794	yes
FBgn0031738	FBgn0031738	CG9171	2L:5767001-5800253	C1	C2	OK	25.792	55.0411	1.09359	6.31082	5e-05	0.00167794	yes
FBgn0033226	FBgn0033226	CG1882	2R:7812503-7815486	C1	C2	OK	96.215	204.58	1.08833	6.74839	5e-05	0.00167794	yes
FBgn0001297	FBgn0001297	kay	3R:29765994-29794113	C1	C2	OK	166.634	352.241	1.07988	7.44655	5e-05	0.00167794	yes
FBgn0052626	FBgn0052626	AMPdeam	X:13830740-13845866	C1	C2	OK	101.785	214.693	1.07675	7.1153	5e-05	0.00167794	yes
FBgn0083123	FBgn0083123	Uhg5	2R:14621600-14624498	C1	C2	OK	24.5645	51.6568	1.07238	4.64894	5e-05	0.00167794	yes
FBgn0036144	FBgn0036144	GlcAT-P	3L:11176953-11197536	C1	C2	OK	54.2488	114.029	1.07174	6.84553	5e-05	0.00167794	yes
FBgn0029161	FBgn0029161	slmo	2L:6046515-6050474	C1	C2	OK	161.011	338.439	1.07173	5.74666	5e-05	0.00167794	yes
FBgn0032815	FBgn0032815	CG10462	2L:19732079-19735980	C1	C2	OK	33.5128	70.0159	1.06297	6.35752	5e-05	0.00167794	yes
FBgn0051989	FBgn0051989	Cap-D3	2L:5524138-5536758	C1	C2	OK	18.905	39.3956	1.05927	3.45973	5e-05	0.00167794	yes
FBgn0030400	FBgn0030400	CG11138	X:12569168-12583193	C1	C2	OK	26.5617	55.3239	1.05856	6.27408	5e-05	0.00167794	yes
FBgn0023388	FBgn0023388	Dap160	2L:21134438-21142347	C1	C2	OK	38.2326	79.5731	1.05748	6.54272	5e-05	0.00167794	yes
FBgn0038108	FBgn0038108	CG7518	3R:12998088-13011310	C1	C2	OK	73.4429	152.834	1.05727	7.08491	5e-05	0.00167794	yes
FBgn0034266	FBgn0034266	CG4975	2R:17726913-17732987	C1	C2	OK	29.8767	62.0506	1.05443	4.91221	5e-05	0.00167794	yes
FBgn0025777	FBgn0025777	homer	2L:6719393-6723359	C1	C2	OK	29.1539	60.5059	1.05339	5.66161	5e-05	0.00167794	yes
FBgn0005694	FBgn0005694	Aef1	3L:21433421-21441363	C1	C2	OK	24.2352	50.2459	1.0519	5.31903	5e-05	0.00167794	yes
FBgn0263199	FBgn0263199	Galk	3L:8981794-8986091	C1	C2	OK	45.8253	94.9895	1.05162	5.96518	5e-05	0.00167794	yes
FBgn0010408	FBgn0010408	RpS9	3L:9509792-9511531	C1	C2	OK	5705.59	11775.3	1.04531	7.53882	5e-05	0.00167794	yes
FBgn0022764	FBgn0022764	Sin3A	2R:12572067-12592917	C1	C2	OK	63.1383	130.151	1.0436	6.48168	5e-05	0.00167794	yes
FBgn0086532	FBgn0086532	Spt-I	2R:13168497-13170745	C1	C2	OK	105.379	215.803	1.03412	6.49414	5e-05	0.00167794	yes
FBgn0259247	FBgn0259247	laccase2	2R:5413743-5456095	C1	C2	OK	22.8406	46.6756	1.03106	5.84916	5e-05	0.00167794	yes
FBgn0040068	FBgn0040068	Vav	X:19261819-19273280	C1	C2	OK	33.6032	68.5615	1.0288	5.29623	5e-05	0.00167794	yes
FBgn0000454	FBgn0000454	Dip-B	3R:13782287-13785676	C1	C2	OK	165.989	338.201	1.02679	6.73396	5e-05	0.00167794	yes
FBgn0011481	FBgn0011481	Ssdp	3R:18192493-18199595	C1	C2	OK	22.4536	45.6656	1.02416	5.75172	5e-05	0.00167794	yes
FBgn0044324	FBgn0044324	Chro	3L:22868379-22878984	C1	C2	OK	42.352	85.9795	1.02156	4.17459	5e-05	0.00167794	yes
FBgn0002413	FBgn0002413	dco	3R:31054084-31061210	C1	C2	OK	74.0676	150.155	1.01954	6.59237	5e-05	0.00167794	yes
FBgn0026376	FBgn0026376	Rgl	3L:13906896-13925335	C1	C2	OK	26.8684	54.4594	1.01927	6.13821	5e-05	0.00167794	yes
FBgn0035793	FBgn0035793	CG7546	3L:7510941-7517316	C1	C2	OK	60.5537	122.424	1.0156	6.7391	5e-05	0.00167794	yes
FBgn0030648	FBgn0030648	CG6340	X:15482373-15486612	C1	C2	OK	34.0589	68.5786	1.00973	5.3531	5e-05	0.00167794	yes
FBgn0034504	FBgn0034504	CG8929	2R:20327269-20330721	C1	C2	OK	55.1577	111	1.00893	6.09876	5e-05	0.00167794	yes
FBgn0264785	FBgn0264785	Hph	3R:5257036-5269507	C1	C2	OK	59.2757	119.226	1.00819	6.183	5e-05	0.00167794	yes
FBgn0016031	FBgn0016031	lama	3L:5343618-5355923	C1	C2	OK	42.4089	85.2568	1.00745	6.14983	5e-05	0.00167794	yes
FBgn0261268	FBgn0261268	Cul3	2L:15265244-15272024	C1	C2	OK	55.2152	110.762	1.00433	6.28399	5e-05	0.00167794	yes
FBgn0027835	FBgn0027835	Dp1	2R:18409047-18421124	C1	C2	OK	160.898	321.621	0.999213	6.66842	5e-05	0.00167794	yes
FBgn0020381	FBgn0020381	Dredd	X:629772-635545	C1	C2	OK	17.0167	33.988	0.998072	3.60012	5e-05	0.00167794	yes
FBgn0259111	FBgn0259111	Ndae1	2L:7223327-7249343	C1	C2	OK	40.4041	80.4915	0.994336	6.21319	5e-05	0.00167794	yes
FBgn0030734	FBgn0030734	CG9911	X:16293852-16303308	C1	C2	OK	143.381	285.376	0.993015	4.66864	5e-05	0.00167794	yes
FBgn0031245	FBgn0031245	CG3625	2L:283384-291795	C1	C2	OK	29.7054	59.1103	0.992687	4.80631	5e-05	0.00167794	yes
FBgn0002887	FBgn0002887	mus201	2L:8438168-8442342	C1	C2	OK	17.6564	35.0776	0.990361	5.58337	5e-05	0.00167794	yes
FBgn0024277	FBgn0024277	trio	3L:995981-1036298	C1	C2	OK	135.317	268.565	0.988929	5.80881	5e-05	0.00167794	yes
FBgn0003638	FBgn0003638	su(w[a])	X:1012778-1046040	C1	C2	OK	31.2317	61.8926	0.986757	5.06337	5e-05	0.00167794	yes
FBgn0036816	FBgn0036816	Indy	3L:18828631-18846267	C1	C2	OK	112.356	221.606	0.979912	6.35593	5e-05	0.00167794	yes
FBgn0030873	FBgn0030873	CG15814	X:17844948-17850342	C1	C2	OK	105.45	207.854	0.979008	5.58885	5e-05	0.00167794	yes
FBgn0261261	FBgn0261261	plx	3R:5685854-5712837	C1	C2	OK	25.2032	49.6442	0.978016	6.02541	5e-05	0.00167794	yes
FBgn0014189	FBgn0014189	Hel25E	2L:5539325-5542314	C1	C2	OK	234.919	461.208	0.973255	6.50258	5e-05	0.00167794	yes
FBgn0011274	FBgn0011274	Dif	2L:17410640-17433161	C1	C2	OK	33.6675	65.9522	0.970065	4.65815	5e-05	0.00167794	yes
FBgn0035107	FBgn0035107	mri	3L:200173-205844	C1	C2	OK	65.2644	127.458	0.965658	4.3609	5e-05	0.00167794	yes
FBgn0002872	FBgn0002872	mu2	3L:1941067-1947475	C1	C2	OK	16.758	32.6552	0.962462	4.17137	5e-05	0.00167794	yes
FBgn0024921	FBgn0024921	Trn	3L:6193479-6200385	C1	C2	OK	22.2499	42.9614	0.949247	5.66525	5e-05	0.00167794	yes
FBgn0020304	FBgn0020304	drongo	2L:833583-851163	C1	C2	OK	100.078	192.621	0.944644	6.20135	5e-05	0.00167794	yes
FBgn0025628	FBgn0025628	CG4199	X:2066434-2075900	C1	C2	OK	304.927	586.753	0.944291	6.148	5e-05	0.00167794	yes
FBgn0004049	FBgn0004049	yrt	3R:13428866-13434984	C1	C2	OK	22.909	44.0789	0.944171	5.58187	5e-05	0.00167794	yes
FBgn0261439	FBgn0261439	SdhA	2R:19390127-19395971	C1	C2	OK	98.8399	190.171	0.944131	6.06336	5e-05	0.00167794	yes
FBgn0025286	FBgn0025286	RpL31	2R:9587192-9605624	C1	C2	OK	5030.76	9668.99	0.94259	6.42223	5e-05	0.00167794	yes
FBgn0039261	FBgn0039261	CG6422	3R:25033875-25039249	C1	C2	OK	26.8733	51.6478	0.942534	5.31747	5e-05	0.00167794	yes
FBgn0004924	FBgn0004924	Top1	X:15319478-15328029	C1	C2	OK	63.7145	122.325	0.941022	5.01516	5e-05	0.00167794	yes
FBgn0026576	FBgn0026576	CG5991	3R:24050782-24053592	C1	C2	OK	49.4748	94.8282	0.938623	5.39308	5e-05	0.00167794	yes
FBgn0086683	FBgn0086683	Spf45	2L:23066873-23068386	C1	C2	OK	73.5803	140.798	0.93624	5.4526	5e-05	0.00167794	yes
FBgn0033784	FBgn0033784	CG13322	2R:12934233-12936535	C1	C2	OK	21.5761	41.2131	0.933667	4.81471	5e-05	0.00167794	yes
FBgn0029155	FBgn0029155	Men-b	3R:27151661-27157603	C1	C2	OK	88.513	168.696	0.930466	5.81016	5e-05	0.00167794	yes
FBgn0264492	FBgn0264492	CkIIalpha	3L:23097071-23103460	C1	C2	OK	52.5498	100.038	0.928788	5.34074	5e-05	0.00167794	yes
FBgn0027561	FBgn0027561	CG18659	2R:9122124-9132030	C1	C2	OK	62.4367	118.772	0.927725	5.65218	5e-05	0.00167794	yes
FBgn0028968	FBgn0028968	gammaCOP	3R:31572142-31575707	C1	C2	OK	119.462	227.134	0.926984	6.16878	5e-05	0.00167794	yes
FBgn0029687	FBgn0029687	Vap-33A	X:3948974-3955442	C1	C2	OK	64.5839	122.25	0.92059	5.78231	5e-05	0.00167794	yes
FBgn0052549	FBgn0052549	CG32549	X:18390497-18410144	C1	C2	OK	120.568	228.066	0.919601	6.02009	5e-05	0.00167794	yes
FBgn0037057	FBgn0037057	CG10512	3L:21194616-21208092	C1	C2	OK	41.7176	78.6878	0.915484	3.57511	5e-05	0.00167794	yes
FBgn0039234	FBgn0039234	nct	3R:24851600-24856243	C1	C2	OK	52.4128	98.6492	0.912387	5.40836	5e-05	0.00167794	yes
FBgn0029870	FBgn0029870	Marf	X:6365948-6371026	C1	C2	OK	61.8856	116.421	0.911673	5.87762	5e-05	0.00167794	yes
FBgn0011672	FBgn0011672	Mvl	3R:21051382-21060800	C1	C2	OK	47.1813	88.6716	0.910257	5.42068	5e-05	0.00167794	yes
FBgn0004167	FBgn0004167	kst	3L:3336859-3368133	C1	C2	OK	201.983	379.408	0.909511	6.50874	5e-05	0.00167794	yes
FBgn0025683	FBgn0025683	CG3164	2L:114725-157666	C1	C2	OK	143.922	269.817	0.906691	4.3084	5e-05	0.00167794	yes
FBgn0016034	FBgn0016034	mael	3L:22721202-22727789	C1	C2	OK	34.7801	65.1083	0.904581	4.49861	5e-05	0.00167794	yes
FBgn0030478	FBgn0030478	CG1640	X:13370605-13380160	C1	C2	OK	125.385	233.384	0.896343	5.89823	5e-05	0.00167794	yes
FBgn0015765	FBgn0015765	p38a	3R:24150415-24152321	C1	C2	OK	29.7301	55.2048	0.89287	4.57278	5e-05	0.00167794	yes
FBgn0085423	FBgn0085423	CG34394	2L:3358639-3373372	C1	C2	OK	18.5946	34.4811	0.890919	5.29177	5e-05	0.00167794	yes
FBgn0035400	FBgn0035400	CG11537	3L:3128033-3143457	C1	C2	OK	80.8685	149.157	0.883186	5.5793	5e-05	0.00167794	yes
FBgn0035772	FBgn0035772	Sh3beta	3L:7364583-7369260	C1	C2	OK	233.904	431.402	0.883116	5.82627	5e-05	0.00167794	yes
FBgn0031575	FBgn0031575	Cep97	2L:3867696-3872458	C1	C2	OK	25.2485	46.3517	0.876422	4.09908	5e-05	0.00167794	yes
FBgn0050122	FBgn0050122	CG30122	2R:18632327-18639270	C1	C2	OK	129.013	236.339	0.87334	5.95604	5e-05	0.00167794	yes
FBgn0035046	FBgn0035046	NDUFA8	2R:24664397-24666022	C1	C2	OK	133.359	244.249	0.873037	4.87341	5e-05	0.00167794	yes
FBgn0015024	FBgn0015024	CkIalpha	X:12653625-12657834	C1	C2	OK	71.2671	130.309	0.870633	5.38409	5e-05	0.00167794	yes
FBgn0035111	FBgn0035111	CG16940	3L:212708-216479	C1	C2	OK	26.3612	48.1736	0.869825	5.13306	5e-05	0.00167794	yes
FBgn0032721	FBgn0032721	CG10602	2L:18855125-18859248	C1	C2	OK	63.3174	115.663	0.869257	5.09644	5e-05	0.00167794	yes
FBgn0265434	FBgn0265434	zip	2R:24990569-25011965	C1	C2	OK	251.953	459.92	0.868228	6.24081	5e-05	0.00167794	yes
FBgn0261674	FBgn0261674	CG42709	3L:12784428-12805116	C1	C2	OK	32.4533	59.156	0.866159	3.52943	5e-05	0.00167794	yes
FBgn0025864	FBgn0025864	Crag	X:8592030-8602036	C1	C2	OK	63.129	114.9	0.86401	5.77682	5e-05	0.00167794	yes
FBgn0035975	FBgn0035975	PGRP-LA	3L:9334331-9338336	C1	C2	OK	22.3926	40.7405	0.863439	4.13531	5e-05	0.00167794	yes
FBgn0029763	FBgn0029763	CG4165	X:5421532-5427219	C1	C2	OK	39.8513	72.0919	0.855211	5.31831	5e-05	0.00167794	yes
FBgn0263396	FBgn0263396	sqd	3R:13634861-13646304	C1	C2	OK	151.281	273.162	0.852529	5.24936	5e-05	0.00167794	yes
FBgn0016038	FBgn0016038	mod(r)	X:621529-623051	C1	C2	OK	41.5931	75.0422	0.851358	4.45845	5e-05	0.00167794	yes
FBgn0011290	FBgn0011290	Taf12	3R:11678385-11679690	C1	C2	OK	64.8618	116.94	0.850332	4.3856	5e-05	0.00167794	yes
FBgn0001105	FBgn0001105	Gbeta13F	X:15860114-15866175	C1	C2	OK	102.689	185.101	0.850034	5.30723	5e-05	0.00167794	yes
FBgn0267698	FBgn0267698	Pak	3R:6350895-6361614	C1	C2	OK	46.8112	84.2169	0.847255	5.2733	5e-05	0.00167794	yes
FBgn0033639	FBgn0033639	CG9003	2R:11641476-11651616	C1	C2	OK	24.5784	44.2084	0.846929	4.74477	5e-05	0.00167794	yes
FBgn0085446	FBgn0085446	CG34417	X:6540770-6589173	C1	C2	OK	38.9789	70.0326	0.845336	4.20786	5e-05	0.00167794	yes
FBgn0086372	FBgn0086372	lap	3R:7186993-7200941	C1	C2	OK	15.8934	28.5372	0.844416	4.51679	5e-05	0.00167794	yes
FBgn0000212	FBgn0000212	brm	3L:15970081-15982869	C1	C2	OK	55.847	100.264	0.844249	5.44116	5e-05	0.00167794	yes
FBgn0004893	FBgn0004893	bowl	2L:3771699-3784121	C1	C2	OK	20.7408	37.2262	0.843845	4.76517	5e-05	0.00167794	yes
FBgn0020309	FBgn0020309	crol	2L:11794326-11809438	C1	C2	OK	87.5836	157.187	0.84375	5.82249	5e-05	0.00167794	yes
FBgn0013305	FBgn0013305	Nmda1	2R:12875163-12883253	C1	C2	OK	220.349	394.255	0.839337	4.30718	5e-05	0.00167794	yes
FBgn0030323	FBgn0030323	CG2371	X:11677343-11678589	C1	C2	OK	31.929	56.971	0.835359	4.06695	5e-05	0.00167794	yes
FBgn0267378	FBgn0267378	sau	2L:2226341-2231099	C1	C2	OK	86.9772	155.053	0.83405	5.08272	5e-05	0.00167794	yes
FBgn0035989	FBgn0035989	CG3967	3L:9411037-9426758	C1	C2	OK	27.1142	48.3081	0.833219	3.00964	5e-05	0.00167794	yes
FBgn0262739	FBgn0262739	AGO1	2R:13943386-13958089	C1	C2	OK	44.4656	78.9926	0.829027	4.32469	5e-05	0.00167794	yes
FBgn0037702	FBgn0037702	CG8176	3R:9516006-9527237	C1	C2	OK	80.2208	142.249	0.826374	5.32446	5e-05	0.00167794	yes
FBgn0051072	FBgn0051072	Lerp	3R:26842461-26863130	C1	C2	OK	28.4714	50.481	0.826227	4.85993	5e-05	0.00167794	yes
FBgn0035558	FBgn0035558	CG11357	3L:4542050-4553457	C1	C2	OK	132.839	235.509	0.8261	5.50831	5e-05	0.00167794	yes
FBgn0028325	FBgn0028325	l(1)G0334	X:4702283-4705265	C1	C2	OK	165.507	292.838	0.823207	5.32901	5e-05	0.00167794	yes
FBgn0260722	FBgn0260722	CR42549	3R:9535624-9551806	C1	C2	OK	24.0414	42.4664	0.820799	3.37401	5e-05	0.00167794	yes
FBgn0085442	FBgn0085442	NKAIN	2R:24876690-24888615	C1	C2	OK	110.549	195.119	0.819662	5.06259	5e-05	0.00167794	yes
FBgn0026160	FBgn0026160	tna	3L:10857888-10879037	C1	C2	OK	28.7224	50.6797	0.819232	4.42761	5e-05	0.00167794	yes
FBgn0034091	FBgn0034091	mrj	2R:16203328-16223187	C1	C2	OK	48.8688	86.0698	0.816592	4.83611	5e-05	0.00167794	yes
FBgn0000228	FBgn0000228	Bsg25D	2L:5271727-5278548	C1	C2	OK	35.1963	61.8448	0.813227	4.61004	5e-05	0.00167794	yes
FBgn0033196	FBgn0033196	CG1358	2R:7595264-7620711	C1	C2	OK	53.7277	94.2357	0.810608	4.97899	5e-05	0.00167794	yes
FBgn0031213	FBgn0031213	galectin	2L:66317-76211	C1	C2	OK	47.4336	83.156	0.809911	4.01169	5e-05	0.00167794	yes
FBgn0053526	FBgn0053526	PNUTS	2L:870464-877038	C1	C2	OK	66.7178	116.267	0.801295	4.92426	5e-05	0.00167794	yes
FBgn0038735	FBgn0038735	CG4662	3R:19847310-19861291	C1	C2	OK	30.6078	53.2502	0.798888	2.69554	5e-05	0.00167794	yes
FBgn0028646	FBgn0028646	aralar1	3R:30445634-30455867	C1	C2	OK	43.4538	75.5391	0.797741	4.67811	5e-05	0.00167794	yes
FBgn0003502	FBgn0003502	Btk29A	2L:8258372-8301079	C1	C2	OK	41.1991	71.5803	0.796949	4.92137	5e-05	0.00167794	yes
FBgn0037007	FBgn0037007	CG5059	3L:20514597-20519393	C1	C2	OK	45.6044	79.1039	0.794576	4.43571	5e-05	0.00167794	yes
FBgn0036369	FBgn0036369	CG10089	3L:13465551-13474787	C1	C2	OK	30.033	52.0575	0.793557	3.70698	5e-05	0.00167794	yes
FBgn0040322	FBgn0040322	GNBP2	3L:18673473-18675413	C1	C2	OK	64.1368	110.916	0.79024	4.47685	5e-05	0.00167794	yes
FBgn0030151	FBgn0030151	CG1354	X:9778741-9782094	C1	C2	OK	137.391	237.313	0.788507	4.98134	5e-05	0.00167794	yes
FBgn0038145	FBgn0038145	Droj2	3R:13382105-13385283	C1	C2	OK	269.656	464.83	0.785582	5.33401	5e-05	0.00167794	yes
FBgn0039635	FBgn0039635	CG11876	3R:29113070-29116197	C1	C2	OK	215.361	371.156	0.785268	4.91983	5e-05	0.00167794	yes
FBgn0027279	FBgn0027279	l(1)G0196	X:22473697-22508129	C1	C2	OK	67.0352	115.129	0.780258	4.16745	5e-05	0.00167794	yes
FBgn0027786	FBgn0027786	Mtch	3L:184625-186310	C1	C2	OK	95.9912	164.68	0.77869	4.69809	5e-05	0.00167794	yes
FBgn0003969	FBgn0003969	vap	X:15999950-16005812	C1	C2	OK	56.319	96.5738	0.778011	4.93853	5e-05	0.00167794	yes
FBgn0260458	FBgn0260458	PGRP-LD	3L:5780050-5786718	C1	C2	OK	39.5339	67.5958	0.773843	4.44562	5e-05	0.00167794	yes
FBgn0053111	FBgn0053111	CG33111	3R:23801713-23860013	C1	C2	OK	30.5584	52.1571	0.771293	3.39447	5e-05	0.00167794	yes
FBgn0005649	FBgn0005649	Rox8	3R:24043055-24049168	C1	C2	OK	59.353	101.007	0.767056	4.7153	5e-05	0.00167794	yes
FBgn0023023	FBgn0023023	CRMP	3R:5571107-5579189	C1	C2	OK	23.8443	40.5146	0.7648	4.1342	5e-05	0.00167794	yes
FBgn0035229	FBgn0035229	CG7852	3L:1537136-1544823	C1	C2	OK	33.3647	56.5951	0.762355	4.77929	5e-05	0.00167794	yes
FBgn0260959	FBgn0260959	MCPH1	2R:11895996-11903918	C1	C2	OK	48.872	82.8017	0.760652	4.3393	5e-05	0.00167794	yes
FBgn0039622	FBgn0039622	eIF4E-6	3R:29026438-29027174	C1	C2	OK	40.0704	67.825	0.75928	3.36647	5e-05	0.00167794	yes
FBgn0036974	FBgn0036974	eRF1	3L:20348354-20356632	C1	C2	OK	176.865	298.909	0.757059	4.89742	5e-05	0.00167794	yes
FBgn0003475	FBgn0003475	spir	2L:20311218-20348386	C1	C2	OK	60.938	102.961	0.756686	4.54485	5e-05	0.00167794	yes
FBgn0030724	FBgn0030724	Nipsnap	X:16070364-16073568	C1	C2	OK	30.5551	51.5331	0.754086	3.75362	5e-05	0.00167794	yes
